Q,A
String avatar =, 
String avatar = ,FileUploadUtils
String avatar = FileUploadUtils,.
String avatar = FileUploadUtils.,upload
String avatar = FileUploadUtils.upload,(
String avatar = FileUploadUtils.upload(,SltgSysConfig
String avatar = FileUploadUtils.upload(SltgSysConfig,.
String avatar = FileUploadUtils.upload(SltgSysConfig.,getAvatarPath
String avatar = FileUploadUtils.upload(SltgSysConfig.getAvatarPath,(
String avatar = FileUploadUtils.upload(SltgSysConfig.getAvatarPath(,)
String avatar = FileUploadUtils.upload(SltgSysConfig.getAvatarPath(),@COMMA_CHAR_REPLACE
String avatar = FileUploadUtils.upload(SltgSysConfig.getAvatarPath()@COMMA_CHAR_REPLACE, 
String avatar = FileUploadUtils.upload(SltgSysConfig.getAvatarPath()@COMMA_CHAR_REPLACE ,file
String avatar = FileUploadUtils.upload(SltgSysConfig.getAvatarPath()@COMMA_CHAR_REPLACE file,)
String avatar = FileUploadUtils.upload(SltgSysConfig.getAvatarPath()@COMMA_CHAR_REPLACE file),;
String avatar = FileUploadUtils.upload(SltgSysConfig.getAvatarPath()@COMMA_CHAR_REPLACE file);,PARAM_END
if ,(
if (,userService
if (userService,.
if (userService.,updateUserAvatar
if (userService.updateUserAvatar,(
if (userService.updateUserAvatar(,loginUser
if (userService.updateUserAvatar(loginUser,.
if (userService.updateUserAvatar(loginUser.,getUsername
if (userService.updateUserAvatar(loginUser.getUsername,(
if (userService.updateUserAvatar(loginUser.getUsername(,)
if (userService.updateUserAvatar(loginUser.getUsername(),@COMMA_CHAR_REPLACE
if (userService.updateUserAvatar(loginUser.getUsername()@COMMA_CHAR_REPLACE, 
if (userService.updateUserAvatar(loginUser.getUsername()@COMMA_CHAR_REPLACE ,avatar
if (userService.updateUserAvatar(loginUser.getUsername()@COMMA_CHAR_REPLACE avatar,)
if (userService.updateUserAvatar(loginUser.getUsername()@COMMA_CHAR_REPLACE avatar),)
if (userService.updateUserAvatar(loginUser.getUsername()@COMMA_CHAR_REPLACE avatar)), 
if (userService.updateUserAvatar(loginUser.getUsername()@COMMA_CHAR_REPLACE avatar)) ,{
if (userService.updateUserAvatar(loginUser.getUsername()@COMMA_CHAR_REPLACE avatar)) {,PARAM_END
AjaxResult ,ajax
AjaxResult ajax, 
AjaxResult ajax ,=
AjaxResult ajax =, 
AjaxResult ajax = ,AjaxResult
AjaxResult ajax = AjaxResult,.
AjaxResult ajax = AjaxResult.,success
AjaxResult ajax = AjaxResult.success,(
AjaxResult ajax = AjaxResult.success(,)
AjaxResult ajax = AjaxResult.success(),;
AjaxResult ajax = AjaxResult.success();,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"imgUrl"
ajax.put("imgUrl",@COMMA_CHAR_REPLACE
ajax.put("imgUrl"@COMMA_CHAR_REPLACE, 
ajax.put("imgUrl"@COMMA_CHAR_REPLACE ,avatar
ajax.put("imgUrl"@COMMA_CHAR_REPLACE avatar,)
ajax.put("imgUrl"@COMMA_CHAR_REPLACE avatar),;
ajax.put("imgUrl"@COMMA_CHAR_REPLACE avatar);,PARAM_END
loginUser.,getUser
loginUser.getUser,(
loginUser.getUser(,)
loginUser.getUser(),.
loginUser.getUser().,setAvatar
loginUser.getUser().setAvatar,(
loginUser.getUser().setAvatar(,avatar
loginUser.getUser().setAvatar(avatar,)
loginUser.getUser().setAvatar(avatar),;
loginUser.getUser().setAvatar(avatar);,PARAM_END
tokenService.,setLoginUser
tokenService.setLoginUser,(
tokenService.setLoginUser(,loginUser
tokenService.setLoginUser(loginUser,)
tokenService.setLoginUser(loginUser),;
tokenService.setLoginUser(loginUser);,PARAM_END
return ,ajax
return ajax,;
return ajax;,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,"上传图片异常，请联系管理员"
return AjaxResult.error("上传图片异常，请联系管理员",)
return AjaxResult.error("上传图片异常，请联系管理员"),;
return AjaxResult.error("上传图片异常，请联系管理员");,PARAM_END
import java.,util
import java.util,.
import java.util.,List
import java.util.List,;
import java.util.List;,PARAM_END
import java.,util
import java.util,.
import java.util.,stream
import java.util.stream,.
import java.util.stream.,Collectors
import java.util.stream.Collectors,;
import java.util.stream.Collectors;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,ip
import com.sltg.common.utils.ip,.
import com.sltg.common.utils.ip.,IpUtils
import com.sltg.common.utils.ip.IpUtils,;
import com.sltg.common.utils.ip.IpUtils;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Autowired
import org.springframework.beans.factory.annotation.Autowired,;
import org.springframework.beans.factory.annotation.Autowired;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,security
import org.springframework.security,.
import org.springframework.security.,access
import org.springframework.security.access,.
import org.springframework.security.access.,prepost
import org.springframework.security.access.prepost,.
import org.springframework.security.access.prepost.,PreAuthorize
import org.springframework.security.access.prepost.PreAuthorize,;
import org.springframework.security.access.prepost.PreAuthorize;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,validation
import org.springframework.validation,.
import org.springframework.validation.,annotation
import org.springframework.validation.annotation,.
import org.springframework.validation.annotation.,Validated
import org.springframework.validation.annotation.Validated,;
import org.springframework.validation.annotation.Validated;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,DeleteMapping
import org.springframework.web.bind.annotation.DeleteMapping,;
import org.springframework.web.bind.annotation.DeleteMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,GetMapping
import org.springframework.web.bind.annotation.GetMapping,;
import org.springframework.web.bind.annotation.GetMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PathVariable
import org.springframework.web.bind.annotation.PathVariable,;
import org.springframework.web.bind.annotation.PathVariable;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PostMapping
import org.springframework.web.bind.annotation.PostMapping,;
import org.springframework.web.bind.annotation.PostMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PutMapping
import org.springframework.web.bind.annotation.PutMapping,;
import org.springframework.web.bind.annotation.PutMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RequestBody
import org.springframework.web.bind.annotation.RequestBody,;
import org.springframework.web.bind.annotation.RequestBody;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RequestMapping
import org.springframework.web.bind.annotation.RequestMapping,;
import org.springframework.web.bind.annotation.RequestMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RestController
import org.springframework.web.bind.annotation.RestController,;
import org.springframework.web.bind.annotation.RestController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,annotation
import com.sltg.common.annotation,.
import com.sltg.common.annotation.,Log
import com.sltg.common.annotation.Log,;
import com.sltg.common.annotation.Log;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,constant
import com.sltg.common.constant,.
import com.sltg.common.constant.,UserConstants
import com.sltg.common.constant.UserConstants,;
import com.sltg.common.constant.UserConstants;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,controller
import com.sltg.common.core.controller,.
import com.sltg.common.core.controller.,BaseController
import com.sltg.common.core.controller.BaseController,;
import com.sltg.common.core.controller.BaseController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,AjaxResult
import com.sltg.common.core.domain.AjaxResult,;
import com.sltg.common.core.domain.AjaxResult;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,entity
import com.sltg.common.core.domain.entity,.
import com.sltg.common.core.domain.entity.,SysRole
import com.sltg.common.core.domain.entity.SysRole,;
import com.sltg.common.core.domain.entity.SysRole;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,entity
import com.sltg.common.core.domain.entity,.
import com.sltg.common.core.domain.entity.,SysUser
import com.sltg.common.core.domain.entity.SysUser,;
import com.sltg.common.core.domain.entity.SysUser;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,page
import com.sltg.common.core.page,.
import com.sltg.common.core.page.,TableDataInfo
import com.sltg.common.core.page.TableDataInfo,;
import com.sltg.common.core.page.TableDataInfo;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,enums
import com.sltg.common.enums,.
import com.sltg.common.enums.,BusinessType
import com.sltg.common.enums.BusinessType,;
import com.sltg.common.enums.BusinessType;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,SecurityUtils
import com.sltg.common.utils.SecurityUtils,;
import com.sltg.common.utils.SecurityUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,ServletUtils
import com.sltg.common.utils.ServletUtils,;
import com.sltg.common.utils.ServletUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,StringUtils
import com.sltg.common.utils.StringUtils,;
import com.sltg.common.utils.StringUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,poi
import com.sltg.common.utils.poi,.
import com.sltg.common.utils.poi.,ExcelUtil
import com.sltg.common.utils.poi.ExcelUtil,;
import com.sltg.common.utils.poi.ExcelUtil;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,service
import com.sltg.system.service,.
import com.sltg.system.service.,SysRoleService
import com.sltg.system.service.SysRoleService,;
import com.sltg.system.service.SysRoleService;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,service
import com.sltg.system.service,.
import com.sltg.system.service.,SysUserService
import com.sltg.system.service.SysUserService,;
import com.sltg.system.service.SysUserService;,PARAM_END
@RequestMapping,(
@RequestMapping(,"/system/user"
@RequestMapping("/system/user",)
@RequestMapping("/system/user"),PARAM_END
public ,class
public class, 
public class ,SysUserController
public class SysUserController, 
public class SysUserController ,extends
public class SysUserController extends, 
public class SysUserController extends ,BaseController
public class SysUserController extends BaseController, 
public class SysUserController extends BaseController ,{
public class SysUserController extends BaseController {,PARAM_END
private ,SysUserService
private SysUserService, 
private SysUserService ,userService
private SysUserService userService,;
private SysUserService userService;,PARAM_END
private ,SysRoleService
private SysRoleService, 
private SysRoleService ,roleService
private SysRoleService roleService,;
private SysRoleService roleService;,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:user:list')"
@PreAuthorize("@ss.hasPermi('system:user:list')",)
@PreAuthorize("@ss.hasPermi('system:user:list')"),PARAM_END
@GetMapping,(
@GetMapping(,"/list"
@GetMapping("/list",)
@GetMapping("/list"),PARAM_END
public ,TableDataInfo
public TableDataInfo, 
public TableDataInfo ,list
public TableDataInfo list,(
public TableDataInfo list(,SysUser
public TableDataInfo list(SysUser, 
public TableDataInfo list(SysUser ,user
public TableDataInfo list(SysUser user,)
public TableDataInfo list(SysUser user), 
public TableDataInfo list(SysUser user) ,{
public TableDataInfo list(SysUser user) {,PARAM_END
startPage(,)
startPage(),;
startPage();,PARAM_END
List<,SysUser
List<SysUser,>
List<SysUser>, 
List<SysUser> ,list
List<SysUser> list, 
List<SysUser> list ,=
List<SysUser> list =, 
List<SysUser> list = ,userService
List<SysUser> list = userService,.
List<SysUser> list = userService.,selectUserList
List<SysUser> list = userService.selectUserList,(
List<SysUser> list = userService.selectUserList(,user
List<SysUser> list = userService.selectUserList(user,)
List<SysUser> list = userService.selectUserList(user),;
List<SysUser> list = userService.selectUserList(user);,PARAM_END
return ,getDataTable
return getDataTable,(
return getDataTable(,list
return getDataTable(list,)
return getDataTable(list),;
return getDataTable(list);,PARAM_END
@Log,(
@Log(,title
@Log(title, 
@Log(title ,=
@Log(title =, 
@Log(title = ,"用户管理"
@Log(title = "用户管理",@COMMA_CHAR_REPLACE
@Log(title = "用户管理"@COMMA_CHAR_REPLACE, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE ,businessType
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType ,=
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType =, 
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = ,BusinessType
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType,.
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.,EXPORT
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.EXPORT,)
@Log(title = "用户管理"@COMMA_CHAR_REPLACE businessType = BusinessType.EXPORT),PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:user:export')"
@PreAuthorize("@ss.hasPermi('system:user:export')",)
@PreAuthorize("@ss.hasPermi('system:user:export')"),PARAM_END
@GetMapping,(
@GetMapping(,"/export"
@GetMapping("/export",)
@GetMapping("/export"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,export
public AjaxResult export,(
public AjaxResult export(,SysUser
public AjaxResult export(SysUser, 
public AjaxResult export(SysUser ,user
public AjaxResult export(SysUser user,)
public AjaxResult export(SysUser user), 
public AjaxResult export(SysUser user) ,{
public AjaxResult export(SysUser user) {,PARAM_END
List<,SysUser
List<SysUser,>
List<SysUser>, 
List<SysUser> ,list
List<SysUser> list, 
List<SysUser> list ,=
List<SysUser> list =, 
List<SysUser> list = ,userService
List<SysUser> list = userService,.
List<SysUser> list = userService.,selectUserList
List<SysUser> list = userService.selectUserList,(
List<SysUser> list = userService.selectUserList(,user
List<SysUser> list = userService.selectUserList(user,)
List<SysUser> list = userService.selectUserList(user),;
List<SysUser> list = userService.selectUserList(user);,PARAM_END
ExcelUtil<,SysUser
ExcelUtil<SysUser,>
ExcelUtil<SysUser>, 
ExcelUtil<SysUser> ,util
ExcelUtil<SysUser> util, 
ExcelUtil<SysUser> util ,=
ExcelUtil<SysUser> util =, 
ExcelUtil<SysUser> util = ,new
ExcelUtil<SysUser> util = new, 
ExcelUtil<SysUser> util = new ,ExcelUtil
ExcelUtil<SysUser> util = new ExcelUtil,<
ExcelUtil<SysUser> util = new ExcelUtil<,>
ExcelUtil<SysUser> util = new ExcelUtil<>,(
ExcelUtil<SysUser> util = new ExcelUtil<>(,SysUser
ExcelUtil<SysUser> util = new ExcelUtil<>(SysUser,.
ExcelUtil<SysUser> util = new ExcelUtil<>(SysUser.,class
ExcelUtil<SysUser> util = new ExcelUtil<>(SysUser.class,)
ExcelUtil<SysUser> util = new ExcelUtil<>(SysUser.class),;
ExcelUtil<SysUser> util = new ExcelUtil<>(SysUser.class);,PARAM_END
return ,util
return util,.
return util.,exportExcel
return util.exportExcel,(
return util.exportExcel(,list
return util.exportExcel(list,@COMMA_CHAR_REPLACE
return util.exportExcel(list@COMMA_CHAR_REPLACE, 
return util.exportExcel(list@COMMA_CHAR_REPLACE ,"用户数据"
return util.exportExcel(list@COMMA_CHAR_REPLACE "用户数据",)
return util.exportExcel(list@COMMA_CHAR_REPLACE "用户数据"),;
return util.exportExcel(list@COMMA_CHAR_REPLACE "用户数据");,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:user:query')"
@PreAuthorize("@ss.hasPermi('system:user:query')",)
@PreAuthorize("@ss.hasPermi('system:user:query')"),PARAM_END
@GetMapping,(
@GetMapping(,value
@GetMapping(value, 
@GetMapping(value ,=
@GetMapping(value =, 
@GetMapping(value = ,{
@GetMapping(value = {, 
@GetMapping(value = { ,"/"
@GetMapping(value = { "/",@COMMA_CHAR_REPLACE
@GetMapping(value = { "/"@COMMA_CHAR_REPLACE, 
@GetMapping(value = { "/"@COMMA_CHAR_REPLACE ,"/{userId}"
@GetMapping(value = { "/"@COMMA_CHAR_REPLACE "/{userId}", 
@GetMapping(value = { "/"@COMMA_CHAR_REPLACE "/{userId}" ,}
@GetMapping(value = { "/"@COMMA_CHAR_REPLACE "/{userId}" },)
@GetMapping(value = { "/"@COMMA_CHAR_REPLACE "/{userId}" }),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,getInfo
public AjaxResult getInfo,(
public AjaxResult getInfo(,@
public AjaxResult getInfo(@,PathVariable
public AjaxResult getInfo(@PathVariable,(
public AjaxResult getInfo(@PathVariable(,value
public AjaxResult getInfo(@PathVariable(value, 
public AjaxResult getInfo(@PathVariable(value ,=
public AjaxResult getInfo(@PathVariable(value =, 
public AjaxResult getInfo(@PathVariable(value = ,"userId"
public AjaxResult getInfo(@PathVariable(value = "userId",@COMMA_CHAR_REPLACE
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE, 
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE ,required
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required, 
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required ,=
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required =, 
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = ,false
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false,)
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false), 
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false) ,Long
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false) Long, 
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false) Long ,userId
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false) Long userId,)
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false) Long userId), 
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false) Long userId) ,{
public AjaxResult getInfo(@PathVariable(value = "userId"@COMMA_CHAR_REPLACE required = false) Long userId) {,PARAM_END
AjaxResult ,ajax
AjaxResult ajax, 
AjaxResult ajax ,=
AjaxResult ajax =, 
AjaxResult ajax = ,AjaxResult
AjaxResult ajax = AjaxResult,.
AjaxResult ajax = AjaxResult.,success
AjaxResult ajax = AjaxResult.success,(
AjaxResult ajax = AjaxResult.success(,)
AjaxResult ajax = AjaxResult.success(),;
AjaxResult ajax = AjaxResult.success();,PARAM_END
List<,SysRole
List<SysRole,>
List<SysRole>, 
List<SysRole> ,roles
List<SysRole> roles, 
List<SysRole> roles ,=
List<SysRole> roles =, 
List<SysRole> roles = ,roleService
List<SysRole> roles = roleService,.
List<SysRole> roles = roleService.,selectRoleAll
List<SysRole> roles = roleService.selectRoleAll,(
List<SysRole> roles = roleService.selectRoleAll(,)
List<SysRole> roles = roleService.selectRoleAll(),;
List<SysRole> roles = roleService.selectRoleAll();,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"roles"
ajax.put("roles",@COMMA_CHAR_REPLACE
ajax.put("roles"@COMMA_CHAR_REPLACE, 
ajax.put("roles"@COMMA_CHAR_REPLACE ,SysUser
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser,.
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.,isAdmin
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin,(
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(,userId
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId,)
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId), 
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ,?
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ?, 
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? ,roles
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles, 
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles ,:
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles :, 
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : ,roles
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles,.
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.,stream
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream,(
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream(,)
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream(),.
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().,filter
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter,(
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(,r
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r, 
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r ,->
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r ->, 
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> ,!
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !,r
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r,.
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.,isAdmin
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin,(
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin(,)
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin(),)
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()),.
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).,collect
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect,(
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(,Collectors
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(Collectors,.
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(Collectors.,toList
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(Collectors.toList,(
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(Collectors.toList(,)
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(Collectors.toList(),)
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(Collectors.toList()),)
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(Collectors.toList())),;
ajax.put("roles"@COMMA_CHAR_REPLACE SysUser.isAdmin(userId) ? roles : roles.stream().filter(r -> !r.isAdmin()).collect(Collectors.toList()));,PARAM_END
if ,(
if (,StringUtils
if (StringUtils,.
if (StringUtils.,isNotNull
if (StringUtils.isNotNull,(
if (StringUtils.isNotNull(,userId
if (StringUtils.isNotNull(userId,)
if (StringUtils.isNotNull(userId),)
if (StringUtils.isNotNull(userId)), 
if (StringUtils.isNotNull(userId)) ,{
if (StringUtils.isNotNull(userId)) {,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,AjaxResult
ajax.put(AjaxResult,.
ajax.put(AjaxResult.,DATA_TAG
ajax.put(AjaxResult.DATA_TAG,@COMMA_CHAR_REPLACE
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE, 
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE ,userService
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userService,.
